t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418990266,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990271,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990276,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990281,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990286,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990291,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990296,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990301,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990306,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990311,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990316,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990321,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990326,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990331,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990336,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990341,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990346,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990351,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990356,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990361,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990366,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990371,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990376,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990381,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990386,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990391,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990396,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990401,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990406,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990411,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990416,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990421,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990426,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990431,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990436,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990441,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990446,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990451,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990456,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990461,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990466,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990471,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990476,24,5,3.000000,1,2.043016,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990481,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990486,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990491,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990496,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990501,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990506,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990511,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990516,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990521,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990526,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990531,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990536,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990541,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990546,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990551,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990556,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990561,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990566,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990571,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990576,26,5,3.000000,1,2.039608,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
