t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1421319192,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319197,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319202,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319207,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319212,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319217,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319222,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319227,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319232,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319237,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319242,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319247,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319252,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319257,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319262,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319267,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319272,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319277,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319282,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319287,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319292,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319297,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319302,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319307,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319312,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319317,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319322,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319327,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319332,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319337,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319342,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319347,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319352,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319357,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319362,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319367,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
